Date,AppID,AppName,Language,Version,VersionCode,OS,Author,Rating,Title,Review,Translated title,Translated review,Reply Date,Developer Reply,User,Device,Device Type,Tags,Categories,Notes,Likes,Dislikes,Link,Permalink,AF Link
5/27/2020 19:11,in.digital.reliance,Reliance Digital Online Shopping App,en,,,,Kailash Nemade,5,,Very good online shopping platform,,,,,,,,,,,,,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=in.digital.reliance&reviewid=gp:AOqpTOHDxcJ31N9j4byMOef-lt4MJSat9ao0VpgshB4vxt4P7cioH7sfF1WtzzQCRfvt7wxlP-nQIz86K_KJ_Lw,https://appfollow.io/gp/1208702/review/530511149,https://watch.appfollow.io/apps/untitled-collection/reviews/326860?review_id=530511149
5/27/2020 18:17,in.digital.reliance,Reliance Digital Online Shopping App,en,,,,Joydeep Mukherjee,2,,Cant log in...,,,,,,,,,,,,,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=in.digital.reliance&reviewid=gp:AOqpTOF4_rZDG2a8B6v58A0KYgBQUgyjdnokdL3KqCDt-OA8vjI6mmrRSPumbcihf0-ADJ7ABK68KSxXaShtC3U,https://appfollow.io/gp/1208702/review/530396917,https://watch.appfollow.io/apps/untitled-collection/reviews/326860?review_id=530396917
5/27/2020 17:27,in.digital.reliance,Reliance Digital Online Shopping App,en,,,,h7t parjapat,5,,Best,,,,,,,,,,,,,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=in.digital.reliance&reviewid=gp:AOqpTOGWNgLpCjOfzdv2wY9ejXLVp3KZaIikZLrN2EWzXBZOUwshPgngTGYkQCJ9KAuSncSnGelIvE5C_zIxybM,https://appfollow.io/gp/1208702/review/530396916,https://watch.appfollow.io/apps/untitled-collection/reviews/326860?review_id=530396916
5/27/2020 16:52,in.digital.reliance,Reliance Digital Online Shopping App,en,,,,Rajan Pandey,5,,Very good app,,,,,,,,,,,,,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=in.digital.reliance&reviewid=gp:AOqpTOH1oOsa4u-NI54WJBDMTkfTHzYCbAPFNSO1gn5Z8omTRM74LCbEztuseCvvO3Ig5fqx_4X7i93plMhkRLw,https://appfollow.io/gp/1208702/review/530396915,https://watch.appfollow.io/apps/untitled-collection/reviews/326860?review_id=530396915
5/27/2020 16:42,in.digital.reliance,Reliance Digital Online Shopping App,en,,,,sandeep bawalia,5,,Amazing,,,,,,,,,,,,,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=in.digital.reliance&reviewid=gp:AOqpTOGnFRb_qQJ8MENrv9r-_rriioOJG3oSJ84nHI4sQakgDh_RyjZ5p_c86CMmoovSOVkmLv3CjGLgg2IQ33Q,https://appfollow.io/gp/1208702/review/530396914,https://watch.appfollow.io/apps/untitled-collection/reviews/326860?review_id=530396914
5/27/2020 16:39,in.digital.reliance,Reliance Digital Online Shopping App,en,,,,chanakya चाणक्य,5,,Too good,,,,,,,,,,,,,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=in.digital.reliance&reviewid=gp:AOqpTOFmFmfD1Z1XnH_-kEOn7q0N5VGh-cWfNmZ7Aqze7ssCrb40ruzrEfwzFIuzJVDWJsF0DU9i1CrXnhce9LA,https://appfollow.io/gp/1208702/review/530396913,https://watch.appfollow.io/apps/untitled-collection/reviews/326860?review_id=530396913
5/27/2020 16:26,in.digital.reliance,Reliance Digital Online Shopping App,en,,,,Reddy Madava,5,,Good,,,,,,,,,,,,,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=in.digital.reliance&reviewid=gp:AOqpTOFkaIzdr59WWElTkDhhuGOAD1-YLjDf1MHxxFU9DWuHEWCm9U02uEU2Sf-ou42najTEDCW99hON0G-2zt4,https://appfollow.io/gp/1208702/review/530396912,https://watch.appfollow.io/apps/untitled-collection/reviews/326860?review_id=530396912
5/27/2020 16:20,in.digital.reliance,Reliance Digital Online Shopping App,en,,,,Rakesh Ghosh,5,,Nice,,,,,,,,,,,,,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=in.digital.reliance&reviewid=gp:AOqpTOGDfiMHCiEDXG2b4C4ryBbQ_gea-ybPu8XxjTgPngnYW1PLuldZ2HWFqYC9Bbql1UPoJqQzPdsLzSTcjoQ,https://appfollow.io/gp/1208702/review/530396911,https://watch.appfollow.io/apps/untitled-collection/reviews/326860?review_id=530396911
5/27/2020 15:55,in.digital.reliance,Reliance Digital Online Shopping App,en,,,,Ahammed Mahamood,1,,Bad experience !!!,,,,,,,,,,,,,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=in.digital.reliance&reviewid=gp:AOqpTOEplP2BMl2q4CtGFOfNs8tIQsLPJDw9jqSShWACzWdfqUN2mRkiqtnFO9kIUHrWcD8mzMd-Dm06fBMZtX0,https://appfollow.io/gp/1208702/review/530396910,https://watch.appfollow.io/apps/untitled-collection/reviews/326860?review_id=530396910
5/27/2020 15:32,in.digital.reliance,Reliance Digital Online Shopping App,en,,,,Vinit Kumar,5,,Veriy Nice Shopping App Amazon and Flipkart Takkar 🥰,,,,,,,,Crash,Bugs,,,,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=in.digital.reliance&reviewid=gp:AOqpTOFpYbnT4KomslSCC5HMYbbq_3AoeS7yabel380Jl4MzDJZCHOQGY_980N_AO07CW-XYQPyAaH63ZS_Kras,https://appfollow.io/gp/1208702/review/530246669,https://watch.appfollow.io/apps/untitled-collection/reviews/326860?review_id=530246669
